accession_id	country	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region	1	2	3	4	5	6	7	8	9	10	grp	pos
PI_442335	Mexico	Calabaza	Cucurbita pepo	Fruits with light green mottling, cream at maturity, oblong-cylindrical, 22cm long, 16cm diam.	NA	Landrace	South/Latin America	1e-5	0.921853	0.027001	0.044623	0.006462	1e-5	1e-5	1e-5	1e-5	1e-5	6	135
PI_615129	Mexico	Tzol	Cucurbita pepo	Three fruits from grower; they select seed for sowing from the larger fruit of the harvest. Sown in April, harvested June/July.	NA	Landrace	South/Latin America	1e-5	0.764474	0.006576	1e-5	1e-5	0.22888	1e-5	1e-5	1e-5	1e-5	6	168
PI_442297	Mexico	Calabaza de India	Cucurbita pepo	Fruits cream-white, mottled dark green stripes, round, 20cm long, 19cm diam. Rind 2mm thick. Locules separate. Flesh lemon yellow.	NA	Landrace	South/Latin America	0.001258	0.981421	1e-5	0.017251	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	78
PI_512188	Mexico	Calabaza india; Calabaza gavilan	Cucurbita pepo	Single fruit, grey-green with pronounced ribs.	NA	Cultivated material	South/Latin America	1e-5	0.880143	1e-5	0.063614	0.014148	1e-5	0.042035	1e-5	1e-5	1e-5	6	128
PI_442331	Mexico	Calabaza de Castilla	Cucurbita pepo	Fruits green, light green stripes, oblong-cylindrical, 18cm long, 15cm diam.	NA	Landrace	South/Latin America	1e-5	0.942361	1e-5	0.057559	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	99
PI_512189	Mexico	Calabaza india	Cucurbita pepo	Single fruit green, ribbed with mottled stripes. Fruit flesh and seed eaten by humans and fed to animals.	NA	Cultivated material	South/Latin America	1e-5	0.986211	1e-5	0.013709	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	79
Ames_21650	Mexico	TWW 163	Cucurbita pepo	One pollination split into 2 seed lots.	NA	Cultivated material	South/Latin America	0.06015	0.68973	1e-5	0.039551	1e-5	0.129557	1e-5	1e-5	0.023415	0.057557	6	144
PI_615130	Mexico	Tzolito	Cucurbita pepo	"Five fruits. Used only for seeds (roasted or ground for ""pipian""), sown in February with harvest in July/August."	NA	Landrace	South/Latin America	1e-5	0.761471	0.025691	1e-5	1e-5	0.212768	1e-5	1e-5	1e-5	1e-5	6	165
Ames_21645	Brazil	TWW 153	Cucurbita pepo	One pollination split into 2 seed lots.	NA	Cultivated material	South/Latin America	0.266851	0.060808	1e-5	1e-5	1e-5	0.202127	1e-5	0.063584	0.406581	1e-5	1	721
Ames_21649	Brazil	TWW 152	Cucurbita pepo	One pollination split into 2 seed lots.	NA	Cultivated material	South/Latin America	0.300402	0.084329	1e-5	1e-5	1e-5	0.201742	1e-5	0.032798	0.38068	1e-5	1	722
Ames_21653	Argentina	TWW 148	Cucurbita pepo	Large, late plants; split into 3 seed lots (=1 fruit self, 5 fruits sibbed, 3 fruit sibbed).	NA	Cultivated material	South/Latin America	1e-5	0.154345	0.012334	0.538315	1e-5	0.001357	0.025488	0.132668	0.002174	0.133299	9	24
PI_234252	Argentina	G56-31B	Cucurbita pepo	NA	NA	Uncertain improvement status	South/Latin America	0.163235	0.166175	0.001263	0.029886	1e-5	0.19153	0.01653	0.189729	0.182043	0.059599	1	727
PI_458730	Argentina	Zapallito Italiano (Tupungato magnif.)	Cucurbita pepo	Seeds medium-sized, dirty white, margins same color. Local name Zapallito  Italiano (Tupungato magnif.).	NA	Landrace	South/Latin America	0.412023	0.076062	1e-5	0.048894	1e-5	0.124909	1e-5	0.128626	0.193204	0.016253	1	730
Ames_24950	Uruguay	G 24401	Cucurbita pepo	NA	NA	Cultivated material	South/Latin America	0.004745	0.327679	1e-5	0.424337	1e-5	1e-5	1e-5	0.238209	0.004979	1e-5	9	28
PI_512800	Spain	S-CU-2	Cucurbita pepo	Sown February-March, harvested September-October. Used for livestock feed.	NA	Landrace	Europe	1e-5	1e-5	1e-5	0.99991	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	9	8
PI_261610	Spain	Calabacin	Cucurbita pepo	Eight inches long.	NA	Uncertain improvement status	Europe	0.047584	0.086803	0.003013	0.54507	0.035096	0.135291	0.013284	0.039362	1e-5	0.094487	9	43
PI_615139	Spain	Calabacin largo	Cucurbita pepo	Sown February, harvested September-November. Used as food.	NA	Landrace	Europe	0.309997	0.022824	1e-5	1e-5	1e-5	0.198627	1e-5	1e-5	0.468492	1e-5	1	720
PI_615135	Spain	Calabacino	Cucurbita pepo	NA	NA	Landrace	Europe	0.13752	0.177229	1e-5	0.297535	0.034337	0.025025	0.001387	0.154314	0.087971	0.084671	1	696
PI_512802	Spain	S-CU-4	Cucurbita pepo	Sown February, harvested September. Used for livestock feed.	NA	Landrace	Europe	1e-5	1e-5	1e-5	0.99991	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	9	10
PI_512703	Spain	A-CU-12	Cucurbita pepo	Sown April, harvested August-September. Used fried or cooked.	NA	Landrace	Europe	0.181888	0.066534	1e-5	0.274502	1e-5	0.190762	1e-5	1e-5	0.286264	1e-5	1	701
