accession_id	country	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region	1	2	3	4	5	6	grp	pos
PI_438741	Mexico	HW 0179	Cucurbita moschata	Fruit spherical, slightly ribbed, orange-buff. Rind hard. Flesh thin, pale  orange.	NA	NA	South/Latin America	1e-5	1e-5	1e-5	1e-5	1e-5	0.99995	1	262
PI_438771	Mexico	HW 0179	Cucurbita moschata	Fruit club shaped, tan with dark green spots, 10cm diam., 28cm long.	NA	NA	South/Latin America	1e-5	0.029551	1e-5	1e-5	1e-5	0.970409	1	272
PI_438747	Mexico	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	1e-5	1e-5	1e-5	1e-5	0.99995	1	263
PI_442271	Mexico	NA	Cucurbita moschata	Fruits light green, tan mottling, turban-shaped, 16m long, 25cm diam. Local  name Calabaza.	NA	NA	South/Latin America	1e-5	0.56509	1e-5	0.379243	0.014706	0.040941	2	201
PI_438790	Mexico	HW 0179	Cucurbita moschata	Obtained from Jose Sinica Fiscal.	NA	NA	South/Latin America	1e-5	1e-5	1e-5	0.99995	1e-5	1e-5	3	138
PI_442273	Mexico	NA	Cucurbita moschata	Fruits green, light green striped, turban-shaped, 16cm long, 20cm diam.	NA	NA	South/Latin America	1e-5	1e-5	1e-5	0.959399	1e-5	0.040561	3	137
PI_438792	Mexico	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	0.484751	1e-5	0.510952	1e-5	0.004267	2	194
PI_438794	Mexico	HW 0179	Cucurbita moschata	Fruit spindle shaped, light buff, 30cm diam., 64cm long.	NA	NA	South/Latin America	1e-5	1e-5	0.041985	0.914353	1e-5	0.043633	3	136
PI_438795	Mexico	HW 0179	Cucurbita moschata	Fruit long elliptic, shallow ribs, light buff, mottled tan and green,  20cm diam., 45cm long. Many seeds germinating. Locally called Tomala.	NA	NA	South/Latin America	1e-5	0.724563	0.04168	0.233727	1e-5	1e-5	2	193
PI_442258	Mexico	NA	Cucurbita moschata	Fruits dark green, tan-striped, turban-shaped, 11cm long, 18cm diam. Local name  Calabaza.	NA	NA	South/Latin America	0.029175	1e-5	0.055002	0.846929	0.068874	1e-5	3	165
PI_438798	Mexico	HW 0179	Cucurbita moschata	Fruit long necked, 12cm diam. at widest part, 30cm long, orange buff, green  on neck.	NA	NA	South/Latin America	1e-5	0.904118	1e-5	0.095842	1e-5	1e-5	2	222
PI_438799	Mexico	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	0.832707	0.027695	0.103699	1e-5	0.03588	2	215
PI_438800	Mexico	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	0.839073	0.003217	0.157681	1e-5	1e-5	2	207
PI_438739	Mexico	HW 0179	Cucurbita moschata	Fruit small, deeply ribbed at stem end, apically dome-shaped, smooth, dark  orange buff, marked brown. Rind soft.	NA	NA	South/Latin America	1e-5	0.008752	0.015929	1e-5	1e-5	0.975289	1	247
PI_438802	Mexico	HW 0179	Cucurbita moschata	Obtained from Alfonso Lopez. Forage type.	NA	NA	South/Latin America	1e-5	0.869263	1e-5	0.130697	1e-5	1e-5	2	209
PI_438708	Mexico	NA	Cucurbita moschata	Locally called Tallallota.	NA	NA	South/Latin America	1e-5	0.044879	1e-5	0.867555	1e-5	0.087537	3	134
PI_438808	Mexico	HW 0179	Cucurbita moschata	Obtained from F. Cardenas R.	NA	NA	South/Latin America	1e-5	0.132021	1e-5	0.867939	1e-5	1e-5	3	159
PI_438748	Mexico	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	1e-5	1e-5	1e-5	1e-5	0.99995	1	264
PI_438750	Mexico	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	1e-5	1e-5	1e-5	1e-5	0.99995	1	261
PI_438751	Mexico	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	0.003969	0.043587	0.017522	1e-5	1e-5	0.934902	1	270
PI_438752	Mexico	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	0.003375	1e-5	0.068413	1e-5	0.928182	1	244
PI_438753	Mexico	HW 0179	Cucurbita moschata	Fruit flat, 10 lobed, 25cm diam., tan with dark green reticulations.	NA	NA	South/Latin America	1e-5	0.006522	1e-5	0.004178	0.011146	0.978133	1	250
PI_438796	Mexico	HW 0179	Cucurbita moschata	Seeds mixed.	NA	NA	South/Latin America	1e-5	0.807469	0.044951	0.147255	1e-5	3.06e-4	2	206
PI_442278	Mexico	NA	Cucurbita moschata	Fruits dark tan, black mottling, slight bloom, turban-shaped, 12cm long, 14cm  diam. Local name Calabaza.	NA	NA	South/Latin America	1e-5	0.142466	1e-5	0.842786	0.014718	1e-5	3	158
PI_438759	Mexico	HW 0179	Cucurbita moschata	Fruit flattened ovate, shallow ribs, white, 23cm diam.	NA	NA	South/Latin America	1e-5	0.064693	0.023415	1e-5	1e-5	0.911862	1	240
PI_438760	Mexico	HW 0179	Cucurbita moschata	Fruit ovoid, shallow ribs, white, 17cm diam., 23cm long. Flesh cream.	NA	NA	South/Latin America	1e-5	1e-5	0.001223	0.452822	0.011816	0.53412	1	281
