country	accession_id	accession_name	taxonomy	improvement_status	cultivar_class	narrative	region
India	PI_165558	Kadu	Cucurbita maxima	NA	NA	NA	Asia
India	PI_163227	No. 8470	Cucurbita maxima	NA	NA	NA	Asia
India	PI_183314	Sakatatti	Cucurbita maxima	NA	NA	NA	Asia
India	PI_175125	Kadu	Cucurbita maxima	NA	NA	Fruit elongate, 25 by 10 inches, ashy, unribbed; not sweet but tasty; flesh 2 1/2 inches thick and orange-colored.	Asia
India	PI_175126	Kadu	Cucurbita maxima	NA	NA	Fruit subvoid, 15 inches in diameter, ashy, unribbed.	Asia
India	PI_121912	No. 1629	Cucurbita maxima	NA	NA	NA	Asia
India	PI_174823	Kadu	Cucurbita maxima	NA	NA	Fruit subglobose, 15 by 12 inches, heavily ribbed, grey, squash-type. Not sweet but tasty.	Asia
India	PI_121915	No Known Plant ID	Cucurbita maxima	NA	NA	NA	Asia
India	PI_121913	Kadu	Cucurbita maxima	NA	NA	NA	Asia
India	PI_166046	Kadu	Cucurbita maxima	NA	NA	NA	Asia
India	PI_121910	No. 1680	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_141638	Kaduetambal	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_137889	Kadu	Cucurbita maxima	NA	NA	PI book claims this acc. is C.Pepo.	Asia
Iran	PI_137871	Kadu	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_143281	No. 7644	Cucurbita maxima	NA	NA	Fruit globose, 12 inches long, pale salmon; flesh orange, 1.5 to 2.5 inches thick, insipid.	Asia
Iran	PI_137887	Kadu	Cucurbita maxima	NA	NA	Fruit globose, 12 inches in diameter; rind red orange and deeply ribbed; flesh 2 inches thick, orange yellow ; good flavor but not very sweet. PI book claims this acc. is C.Pepo.	Asia
Iran	PI_137884	Kadu	Cucurbita maxima	Cultivar	NA	Fruit globose, 8 inches in diameter; rind orange red, with rib stripes of salmon; ribs faintly indented; flesh 1 1/4 inches thick, greenish yellow and insipid. PI book claims this acc. is C.Pepo	Asia
Iran	PI_143284	No. 7735	Cucurbita maxima	NA	NA	Cultivated for the seeds.	Asia
Iran	PI_222784	Kadoo	Cucurbita maxima	NA	NA	Fruit reddish-orange, up to 2 feet in diameter.	Asia
Iran	PI_141640	Kadu	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_211997	No. 5	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_137866	No. 5241	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_141632	Kadu	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_223353	No. 1478	Cucurbita maxima	NA	NA	Fruit pear-shaped, reddish, to 6 inches in diameter and 1 foot long.	Asia
Iran	PI_227361	No. 14869	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_137880	No. 5642	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_211992	No. 4	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_141633	Kadu	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_212009	No. 10	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_137862	Russian Kadu	Cucurbita maxima	NA	NA	Fruit 15 by 8 inches; rind orange red to paler, splotched with green, pinkish-white incomplete rib lines and heavily indented ribs; flesh orange, 2 inches thick, tender and insipid.	Asia
Iran	PI_143280	No. 7643	Cucurbita maxima	NA	NA	Fruit globose, 14 inches long, with deep irregular ribs, salmon, mottled paler; flesh 2 to 4 inches thick, pale orange, insipid.	Asia
Iran	PI_141637	Kaduetambal	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_143274	No. 7488	Cucurbita maxima	NA	NA	Fruit 18 inches long and 9 inches in diameter, orange red, with faint irregular ridb; flesh 1.25 inches thick, deep yellow, good quality.	Asia
Iran	PI_141661	Kadu	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_143278	No. 7595	Cucurbita maxima	NA	NA	Fruit subelliptical, 11 inches long, red; rind 2 inches thick, orange, insipid.	Asia
Iran	PI_211991	No. 3	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_226463	No. 14780	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_265558	Formerly PI 212010	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_143272	No. 7402	Cucurbita maxima	NA	NA	Fruit flattened, 11 inches long and 7 inches in diameter, deeply ribbed, orange red; flesh 5 inches thick, greenish yellow, firm, low in sugar.	Asia
Iran	PI_265561	Formerly PI 223353	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_137860	Kadu	Cucurbita maxima	NA	NA	Adapted to cotton country.	Asia
Iran	PI_211990	No. 2	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_211989	No. 1	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_137861	No. 5613	Cucurbita maxima	NA	NA	Said to be globose. Gorwn where summers are hot.	Asia
Iran	PI_137859	Kadu	Cucurbita maxima	NA	NA	Fruit elongate, 9 by 15 inches, rind gray green and unribbed; flesh yellow, 2 inches thich, and insipid.	Asia
Iran	PI_141665	No. 5927	Cucurbita maxima	NA	NA	Small, immature fruits, both round and elongate.	Asia
Iran	PI_141667	Kaduekombar	Cucurbita maxima	NA	NA	NA	Asia
Iran	PI_141648	Kaduehaluai	Cucurbita maxima	NA	NA	NA	Asia
