country	accession_id	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region
Mexico	PI_512177	Calabaza de Castilla.	Cucurbita moschata	Two fruits, round, slightly flattened with shallow ribs, rind dark green with tan mottling.	NA	Cultivated material	South/Latin America
Mexico	PI_634703	965b	Cucurbita moschata	Pepos purchased in market from woman from San Juan del Rio.	NA	Cultivated material	South/Latin America
Mexico	PI_438801	HW 0179	Cucurbita moschata	Vegetable variety.	NA	"NA"	South/Latin America
Mexico	PI_442286	NA	Cucurbita moschata	Fruits dark orange, dark green and tan mottled, bell-shaped, 16.7cm long, 13.2  cm diam. Local name Calabaza criolla.	NA	"NA"	South/Latin America
Mexico	PI_438803	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_442250	NA	Cucurbita moschata	Local name Calabaza.	Calabaza	NA	South/Latin America
Mexico	PI_438811	HW 0179	Cucurbita moschata	Fruit flat, many lobes, dull yellow. Locally called Kanasin.	NA	"NA"	South/Latin America
Mexico	PI_438815	HW 0179	Cucurbita moschata	Fruit flat, ribbed, dark brown with heavy bloom. Rind soft, thick. Flesh dark orange.	NA	"NA"	South/Latin America
Mexico	PI_438826	HW 0179	Cucurbita moschata	Locally called Tamala.	NA	"NA"	South/Latin America
Mexico	PI_438827	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_438828	HW 0179	Cucurbita moschata	Fruit depressed globose, ribbed. Rind rough, wrinkled dark buff, 25cm diam., 18 cm long.	NA	"NA"	South/Latin America
Mexico	PI_634700	Tamalajote	Cucurbita moschata	Pepo obtained from Sr. Donaciano Cruz Reyes.  This calabasa is the more common of the two cultivated in this region and is preferred for its flesh.  N.V. Tamala	NA	Cultivated material	South/Latin America
Mexico	PI_634701	944	Cucurbita moschata	Pepo obtained from Sr. Sesilio Escobar Matus.  This is one of two commonly cultivated calabasas in this area.  This type matures in 2 months, the fruit is highly prized for consumption when the skin has hardened, prior to this time it is not worth eating.  The mature fruit color is beige, immature fruits may be white, green or green\white striped.  This type provides more fruit than tamalajota, the second typed cultivated in this area.	NA	Cultivated material	South/Latin America
Mexico	PI_634702	965b	Cucurbita moschata	Pepos purchased in market from woman from San Juan del Rio.	NA	Cultivated material	South/Latin America
Mexico	PI_442268	NA	Cucurbita moschata	Seed large. Local name Calabaza de Castilla.	NA	"NA"	South/Latin America
Mexico	PI_511948	Segualca.	Cucurbita moschata	Plants mature later and are less predictable than Cucurbita mixta. Sown in June and July, harvested in November. Cook mature fruit. Sample donated by Encornacion Torres Legarra.	NA	Landrace	South/Latin America
Mexico	PI_442248	NA	Cucurbita moschata	Fruits dark green, tan markings, bell-shaped, 15cm long, 18cm diam. Local name  Calabasa.	NA	"NA"	South/Latin America
Mexico	PI_532378	130	Cucurbita moschata	Fruit obovate, oblong, ellipsoid, ovate or clavate 14-73cm long, 13-26.5cm wide. Some green, some warted. Flesh orange, 2.5-4cm thick. Rind soft-hard. Plant in June, harvest in December.	NA	Cultivated material	South/Latin America
Mexico	PI_442254	NA	Cucurbita moschata	Fruits dark green, light green striped, slightly bell-shaped, 25.5cm long, 16  cm diam. Local name Calabaza.	NA	"NA"	South/Latin America
Mexico	PI_442251	NA	Cucurbita moschata	Local name Calabaza.	NA	"NA"	South/Latin America
Mexico	PI_442252	NA	Cucurbita moschata	Fruits tan, pear-shaped, 28cm long, 15cm diam., cracks horizontally at maturity. Local name Calabaza.	NA	"NA"	South/Latin America
Mexico	PI_442253	NA	Cucurbita moschata	Fruits spheroid, tapering toward top and bottom, 21cm long, 19cm diam. Local  name Calabaza.	NA	"NA"	South/Latin America
Mexico	PI_512169	Calabaza de Castilla.	Cucurbita moschata	Single fruit flat, round.	NA	Cultivated material	South/Latin America
Mexico	PI_442255	NA	Cucurbita moschata	Fruits tan, green striped, oblong, 22cm long, 15cm diam. Local name Calabaza.	NA	"NA"	South/Latin America
Mexico	PI_449347	NA	Cucurbita moschata	Local name Calabasa.	NA	"NA"	South/Latin America
Mexico	PI_438830	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
